Brand,Model,Mileage,Year,Price
Kia,Optima,73280,2013,7995.0
Ford,Escape,69606,2015,9232.0
Ford,Explorer,106322,2013,8995.0
Honda,Pilot,97876,2017,15995.0
Jeep,Compass,76532,2018,11995.0
Dodge,Durango,39763,2021,26895.0
Bentley,Bentayga,8197,2023,204995.0
Mercedes-Benz,GLC,91970,2016,13298.0
BMW,X3,78756,2020,18947.0
Mercedes-Benz,GLE,50165,2021,30489.0
BMW,X1,73772,2020,16981.0
BMW,7 Series,15802,2023,83581.0
Ford,Fusion,88510,2014,7999.0
Jeep,Compass,23831,2023,20495.0
Chevrolet,Express Commercial Cutaway,92201,2017,12995.0
Mercedes-Benz,GLS,69048,2020,32995.0
Audi,Q7,56018,2022,25900.0
Nissan,Sentra,5525,2024,16888.0
Jeep,Grand Cherokee WK,59248,2021,18784.0
Hyundai,Elantra,36095,2022,16968.0
Hyundai,Tucson,3292,2024,30000.0
Nissan,Altima,58325,2022,12990.0
Mercedes-Benz,GLA,61586,2021,21450.0
Chrysler,Pacifica,10,2024,41500.0
Mercedes-Benz,C-Class,5281,2024,42595.0
Hyundai,Sonata,127701,2017,5999.0
Kia,Sorento,59146,2017,9999.0
Volkswagen,Atlas,15209,2021,26311.0
BMW,5 Series,9462,2024,48888.0
Toyota,RAV4,24441,2021,23387.0
Dodge,Durango,85337,2015,13985.0
Audi,SQ5,51515,2021,31875.0
Acura,MDX,52859,2022,30800.0
Jeep,Grand Cherokee,5694,2024,36544.0
Ford,Escape,101769,2017,8550.0
Volkswagen,Atlas,34443,2022,27111.0
Chevrolet,Equinox,6754,2022,20990.0
BMW,X4,74896,2017,12988.0
Maserati,Quattroporte,13222,2017,28885.0
Mercedes-Benz,GLC,27049,2020,29500.0
Chrysler,Pacifica,15708,2023,26995.0
Chevrolet,Malibu,62039,2022,12888.0
BMW,3 Series,30825,2022,26050.0
Ford,Transit Connect Van,118109,2017,8875.0
Jeep,Grand Cherokee,119829,2015,10995.0
Ford,Expedition,80720,2019,22695.0
BMW,X1,78604,2017,12995.0
Subaru,Forester,87718,2017,11580.0
Ram,1500,150804,2016,9990.0
Buick,Encore,29148,2021,16240.0
Jeep,Grand Cherokee WK,33897,2021,27888.0
Ram,ProMaster Cargo Van,78880,2019,19500.0
Acura,MDX,45367,2022,27800.0
BMW,3 Series,77260,2021,25692.0
Volvo,XC90,10461,2023,47195.0
Audi,Q3,56675,2021,15887.0
Honda,Accord,104613,2014,9999.0
Nissan,Rogue,73445,2016,9989.0
Ford,Transit Connect Van,93128,2016,10995.0
Toyota,RAV4,29175,2022,24498.0
BMW,X5,25069,2022,41500.0
Mercedes-Benz,GLE,47299,2018,42590.0
Chrysler,300,65004,2014,9998.0
Mercedes-Benz,GLC,71933,2019,16990.0
GMC,Terrain,95355,2021,14650.0
Subaru,BRZ,27823,2013,15910.0
Tesla,Model Y,57740,2021,22795.0
Honda,CR-V,42816,2022,20900.0
BMW,3 Series,62672,2021,30900.0
Toyota,RAV4,39621,2022,20900.0
Honda,Accord,107319,2015,9352.0
GMC,Acadia,221307,2017,7995.0
Jeep,Grand Cherokee WK,40127,2021,23700.0
Kia,Optima,95500,2013,5999.0
Dodge,Challenger,43333,2022,19995.0
Toyota,RAV4,66779,2018,16850.0
Volkswagen,Tiguan,28600,2021,19611.0
Toyota,Corolla,57869,2019,13005.0
Jeep,Wrangler,50058,2021,21495.0
Honda,Civic,39068,2022,19580.0
Land Rover,Range Rover Velar,35204,2021,26290.0
Audi,Q5,6770,2024,39000.0
Mercedes-Benz,EQS Sedan,14875,2022,69900.0
Ford,Transit Connect Van,154991,2017,7995.0
Audi,Q8,38086,2019,36995.0
Nissan,Rogue,40379,2021,19750.0
Land Rover,Range Rover,99800,2014,24735.0
Nissan,Altima,147282,2015,4990.0
BMW,X3,54772,2023,24900.0
Ford,Bronco Sport,105922,2021,17995.0
Audi,Q3,1871,2024,36195.0
Mercedes-Benz,GLC,54177,2021,22995.0
Volvo,XC90,13010,2023,46475.0
Chevrolet,Equinox,22952,2022,20990.0
Mercedes-Benz,GLE,75493,2019,18795.0
BMW,X3,38867,2022,30500.0
Ford,Edge,61724,2022,15890.0
Acura,Integra,32968,2023,20982.0
Toyota,Highlander,100531,2021,26995.0
Toyota,Tundra,83469,2012,15999.0
Chrysler,200,135342,2016,6599.0
Land Rover,Discovery Sport,77565,2016,10995.0
Mercedes-Benz,C-Class,9701,2024,43890.0
INFINITI,Q60,19934,2014,17800.0
Volkswagen,Jetta,7701,2023,19911.0
Audi,Q7,51046,2022,32300.0
BMW,X5,37015,2023,33893.0
Toyota,Highlander,107254,2019,19885.0
Ford,F-150,102271,2017,12487.0
