Brand,Model,Mileage,Year,Price
Toyota,Highlander,23233,2021,31999.0
Volkswagen,Golf R,69301,2016,20998.0
Dodge,Challenger,47979,2019,21998.0
BMW,3 Series,83888,2015,14599.0
BMW,i4,21344,2023,36600.0
Nissan,Altima,34650,2024,19499.0
Volkswagen,Atlas,13513,2023,29995.0
GMC,Sierra 1500,80169,2021,43999.0
Dodge,Charger,15,2022,26950.0
Chevrolet,Malibu,69326,2021,15995.0
Toyota,Highlander,83033,2020,34988.0
BMW,X1,16762,2023,32336.0
BMW,X1,16483,2023,32420.0
Chevrolet,Equinox,11300,2023,21995.0
Ford,Escape,93292,2014,9975.0
Toyota,Highlander,86458,2018,24315.0
Mercedes-Benz,GLA,74405,2018,16262.0
Chevrolet,Silverado 2500HD,37632,2020,38985.0
Chevrolet,Traverse,60121,2019,21292.0
Honda,CR-V,76460,2018,19988.0
Polestar,2,34122,2021,26499.0
Ford,Escape,10,2023,25995.0
Genesis,G80,38040,2020,30998.0
Volkswagen,Atlas,28645,2021,32742.0
Jeep,Wrangler,63656,2018,20398.0
Toyota,Corolla,64179,2017,15360.0
Chevrolet,Silverado 1500,37799,2018,36885.0
Kia,K5,37285,2023,19000.0
BMW,5 Series,107069,2015,11275.0
Subaru,Crosstrek,30953,2021,22888.0
Ford,F-150,54279,2020,53998.0
Lexus,RX,113141,2008,10995.0
Honda,Civic,41718,2022,23998.0
BMW,X5,31315,2023,46017.0
Mercedes-Benz,GLE,57293,2022,36388.0
Mazda,Mazda3,40505,2022,23247.0
Toyota,Sienna,85773,2014,17640.0
Mercedes-Benz,C-Class,15800,2019,29998.0
Mercedes-Benz,EQB,5192,2024,48888.0
Dodge,Challenger,36238,2018,19995.0
BMW,6 Series,62100,2013,19995.0
Chevrolet,Equinox,4508,2024,26000.0
Mercedes-Benz,M-Class,96119,2010,9988.0
BMW,X4,28870,2022,39998.0
Toyota,Avalon,55101,2022,30985.0
Nissan,Ariya,24411,2023,27299.0
BMW,X7,55195,2022,43999.0
Ford,Edge,6336,2024,27794.0
BMW,X1,11206,2023,34103.0
Mercedes-Benz,GLE,98999,2016,14991.0
Mercedes-Benz,CL,70610,2004,11998.0
Toyota,Corolla,20242,2021,21998.0
Subaru,Outback,17732,2022,26788.0
